trial_index,scenario_id,choice,outcome,ev_chosen,ev_optimal,optimal_choice,is_optimal,cumulative_pnl,current_streak,frame,agent_id,agent_type
0,11a749e7,risky,100.0,40.0,40.0,risky,True,100.0,1,neutral,overconfident_000,overconfident
1,951c249d,risky,-50.0,32.5,32.5,risky,True,50.0,-1,neutral,overconfident_000,overconfident
2,7b8e74ce,safe,80.0,80.0,85.0,risky,False,130.0,1,neutral,overconfident_000,overconfident
3,31fe3aa2,safe,10.0,10.0,10.0,safe,True,140.0,2,neutral,overconfident_000,overconfident
4,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,110.0,-1,neutral,overconfident_000,overconfident
5,11a749e7,safe,30.0,30.0,40.0,risky,False,140.0,1,neutral,overconfident_000,overconfident
6,951c249d,safe,20.0,20.0,32.5,risky,False,160.0,2,neutral,overconfident_000,overconfident
7,7b8e74ce,risky,100.0,85.0,85.0,risky,True,260.0,3,neutral,overconfident_000,overconfident
8,31fe3aa2,safe,10.0,10.0,10.0,safe,True,270.0,4,neutral,overconfident_000,overconfident
9,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,240.0,-1,neutral,overconfident_000,overconfident
10,11a749e7,risky,-20.0,40.0,40.0,risky,True,220.0,-2,neutral,overconfident_000,overconfident
11,951c249d,risky,-50.0,32.5,32.5,risky,True,170.0,-3,neutral,overconfident_000,overconfident
12,7b8e74ce,risky,100.0,85.0,85.0,risky,True,270.0,1,neutral,overconfident_000,overconfident
13,31fe3aa2,safe,10.0,10.0,10.0,safe,True,280.0,2,neutral,overconfident_000,overconfident
14,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,250.0,-1,neutral,overconfident_000,overconfident
15,11a749e7,safe,30.0,30.0,40.0,risky,False,280.0,1,neutral,overconfident_000,overconfident
16,951c249d,safe,20.0,20.0,32.5,risky,False,300.0,2,neutral,overconfident_000,overconfident
17,7b8e74ce,safe,80.0,80.0,85.0,risky,False,380.0,3,neutral,overconfident_000,overconfident
18,31fe3aa2,safe,10.0,10.0,10.0,safe,True,390.0,4,neutral,overconfident_000,overconfident
19,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,360.0,-1,neutral,overconfident_000,overconfident
20,11a749e7,safe,30.0,30.0,40.0,risky,False,390.0,1,neutral,overconfident_000,overconfident
21,951c249d,safe,20.0,20.0,32.5,risky,False,410.0,2,neutral,overconfident_000,overconfident
22,7b8e74ce,risky,100.0,85.0,85.0,risky,True,510.0,3,neutral,overconfident_000,overconfident
