trial_index,scenario_id,choice,outcome,ev_chosen,ev_optimal,optimal_choice,is_optimal,cumulative_pnl,current_streak,frame,agent_id,agent_type
0,11a749e7,risky,100.0,40.0,40.0,risky,True,100.0,1,neutral,rational_000,rational
1,951c249d,risky,-50.0,32.5,32.5,risky,True,50.0,-1,neutral,rational_000,rational
2,7b8e74ce,risky,100.0,85.0,85.0,risky,True,150.0,1,neutral,rational_000,rational
3,31fe3aa2,safe,10.0,10.0,10.0,safe,True,160.0,2,neutral,rational_000,rational
4,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,130.0,-1,neutral,rational_000,rational
5,11a749e7,risky,100.0,40.0,40.0,risky,True,230.0,1,neutral,rational_000,rational
6,951c249d,risky,-50.0,32.5,32.5,risky,True,180.0,-1,neutral,rational_000,rational
7,7b8e74ce,risky,100.0,85.0,85.0,risky,True,280.0,1,neutral,rational_000,rational
8,31fe3aa2,safe,10.0,10.0,10.0,safe,True,290.0,2,neutral,rational_000,rational
9,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,260.0,-1,neutral,rational_000,rational
10,11a749e7,risky,-20.0,40.0,40.0,risky,True,240.0,-2,neutral,rational_000,rational
11,951c249d,risky,-50.0,32.5,32.5,risky,True,190.0,-3,neutral,rational_000,rational
12,7b8e74ce,risky,100.0,85.0,85.0,risky,True,290.0,1,neutral,rational_000,rational
13,31fe3aa2,safe,10.0,10.0,10.0,safe,True,300.0,2,neutral,rational_000,rational
14,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,270.0,-1,neutral,rational_000,rational
15,11a749e7,risky,100.0,40.0,40.0,risky,True,370.0,1,neutral,rational_000,rational
16,951c249d,risky,-50.0,32.5,32.5,risky,True,320.0,-1,neutral,rational_000,rational
17,7b8e74ce,risky,100.0,85.0,85.0,risky,True,420.0,1,neutral,rational_000,rational
18,31fe3aa2,safe,10.0,10.0,10.0,safe,True,430.0,2,neutral,rational_000,rational
19,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,400.0,-1,neutral,rational_000,rational
20,11a749e7,risky,-20.0,40.0,40.0,risky,True,380.0,-2,neutral,rational_000,rational
21,951c249d,risky,-50.0,32.5,32.5,risky,True,330.0,-3,neutral,rational_000,rational
22,7b8e74ce,risky,100.0,85.0,85.0,risky,True,430.0,1,neutral,rational_000,rational
23,31fe3aa2,safe,10.0,10.0,10.0,safe,True,440.0,2,neutral,rational_000,rational
24,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,410.0,-1,neutral,rational_000,rational
25,11a749e7,risky,100.0,40.0,40.0,risky,True,510.0,1,neutral,rational_000,rational
26,951c249d,risky,-50.0,32.5,32.5,risky,True,460.0,-1,neutral,rational_000,rational
27,7b8e74ce,risky,100.0,85.0,85.0,risky,True,560.0,1,neutral,rational_000,rational
28,31fe3aa2,safe,10.0,10.0,10.0,safe,True,570.0,2,neutral,rational_000,rational
29,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,540.0,-1,neutral,rational_000,rational
30,11a749e7,risky,100.0,40.0,40.0,risky,True,640.0,1,neutral,rational_000,rational
31,951c249d,risky,-50.0,32.5,32.5,risky,True,590.0,-1,neutral,rational_000,rational
32,7b8e74ce,risky,100.0,85.0,85.0,risky,True,690.0,1,neutral,rational_000,rational
33,31fe3aa2,safe,10.0,10.0,10.0,safe,True,700.0,2,neutral,rational_000,rational
34,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,670.0,-1,neutral,rational_000,rational
35,11a749e7,risky,-20.0,40.0,40.0,risky,True,650.0,-2,neutral,rational_000,rational
36,951c249d,risky,-50.0,32.5,32.5,risky,True,600.0,-3,neutral,rational_000,rational
