trial_index,scenario_id,choice,outcome,ev_chosen,ev_optimal,optimal_choice,is_optimal,cumulative_pnl,current_streak,frame,agent_id,agent_type,trial,epsilon
0.0,11a749e7,risky,-20.0,40.0,40.0,risky,True,-20.0,-1.0,neutral,loss_averse_000,loss_averse,,
1.0,951c249d,risky,-50.0,32.5,32.5,risky,True,-70.0,-2.0,neutral,loss_averse_000,loss_averse,,
2.0,7b8e74ce,risky,-200.0,85.0,85.0,risky,True,-270.0,-3.0,neutral,loss_averse_000,loss_averse,,
3.0,31fe3aa2,safe,10.0,10.0,10.0,safe,True,-260.0,1.0,neutral,loss_averse_000,loss_averse,,
4.0,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,-290.0,-1.0,neutral,loss_averse_000,loss_averse,,
5.0,11a749e7,risky,-20.0,40.0,40.0,risky,True,-310.0,-2.0,neutral,loss_averse_000,loss_averse,,
6.0,951c249d,safe,20.0,20.0,32.5,risky,False,-290.0,1.0,neutral,loss_averse_000,loss_averse,,
7.0,7b8e74ce,risky,100.0,85.0,85.0,risky,True,-190.0,2.0,neutral,loss_averse_000,loss_averse,,
8.0,31fe3aa2,safe,10.0,10.0,10.0,safe,True,-180.0,3.0,neutral,loss_averse_000,loss_averse,,
9.0,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,-210.0,-1.0,neutral,loss_averse_000,loss_averse,,
10.0,11a749e7,risky,100.0,40.0,40.0,risky,True,-110.0,1.0,neutral,loss_averse_000,loss_averse,,
11.0,951c249d,safe,20.0,20.0,32.5,risky,False,-90.0,2.0,neutral,loss_averse_000,loss_averse,,
12.0,7b8e74ce,risky,100.0,85.0,85.0,risky,True,10.0,3.0,neutral,loss_averse_000,loss_averse,,
13.0,31fe3aa2,safe,10.0,10.0,10.0,safe,True,20.0,4.0,neutral,loss_averse_000,loss_averse,,
14.0,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,-10.0,-1.0,neutral,loss_averse_000,loss_averse,,
15.0,11a749e7,risky,100.0,40.0,40.0,risky,True,90.0,1.0,neutral,loss_averse_000,loss_averse,,
16.0,951c249d,risky,-50.0,32.5,32.5,risky,True,40.0,-1.0,neutral,loss_averse_000,loss_averse,,
17.0,7b8e74ce,risky,100.0,85.0,85.0,risky,True,140.0,1.0,neutral,loss_averse_000,loss_averse,,
18.0,31fe3aa2,safe,10.0,10.0,10.0,safe,True,150.0,2.0,neutral,loss_averse_000,loss_averse,,
19.0,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,120.0,-1.0,neutral,loss_averse_000,loss_averse,,
20.0,11a749e7,risky,100.0,40.0,40.0,risky,True,220.0,1.0,neutral,loss_averse_000,loss_averse,,
21.0,951c249d,safe,20.0,20.0,32.5,risky,False,240.0,2.0,neutral,loss_averse_000,loss_averse,,
22.0,7b8e74ce,safe,80.0,80.0,85.0,risky,False,320.0,3.0,neutral,loss_averse_000,loss_averse,,
23.0,31fe3aa2,safe,10.0,10.0,10.0,safe,True,330.0,4.0,neutral,loss_averse_000,loss_averse,,
24.0,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,300.0,-1.0,neutral,loss_averse_000,loss_averse,,
25.0,11a749e7,safe,30.0,30.0,40.0,risky,False,330.0,1.0,neutral,loss_averse_000,loss_averse,,
26.0,951c249d,safe,20.0,20.0,32.5,risky,False,350.0,2.0,neutral,loss_averse_000,loss_averse,,
27.0,7b8e74ce,safe,80.0,80.0,85.0,risky,False,430.0,3.0,neutral,loss_averse_000,loss_averse,,
28.0,31fe3aa2,safe,10.0,10.0,10.0,safe,True,440.0,4.0,neutral,loss_averse_000,loss_averse,,
29.0,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,410.0,-1.0,neutral,loss_averse_000,loss_averse,,
30.0,11a749e7,risky,-20.0,40.0,40.0,risky,True,390.0,-2.0,neutral,loss_averse_000,loss_averse,,
31.0,951c249d,safe,20.0,20.0,32.5,risky,False,410.0,1.0,neutral,loss_averse_000,loss_averse,,
32.0,7b8e74ce,safe,80.0,80.0,85.0,risky,False,490.0,2.0,neutral,loss_averse_000,loss_averse,,
33.0,31fe3aa2,safe,10.0,10.0,10.0,safe,True,500.0,3.0,neutral,loss_averse_000,loss_averse,,
34.0,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,470.0,-1.0,neutral,loss_averse_000,loss_averse,,
35.0,11a749e7,risky,100.0,40.0,40.0,risky,True,570.0,1.0,neutral,loss_averse_000,loss_averse,,
36.0,951c249d,safe,20.0,20.0,32.5,risky,False,590.0,2.0,neutral,loss_averse_000,loss_averse,,
37.0,7b8e74ce,risky,100.0,85.0,85.0,risky,True,690.0,3.0,neutral,loss_averse_000,loss_averse,,
38.0,31fe3aa2,safe,10.0,10.0,10.0,safe,True,700.0,4.0,neutral,loss_averse_000,loss_averse,,
39.0,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,670.0,-1.0,neutral,loss_averse_000,loss_averse,,
40.0,11a749e7,safe,30.0,30.0,40.0,risky,False,700.0,1.0,neutral,loss_averse_000,loss_averse,,
41.0,951c249d,risky,-50.0,32.5,32.5,risky,True,650.0,-1.0,neutral,loss_averse_000,loss_averse,,
42.0,7b8e74ce,safe,80.0,80.0,85.0,risky,False,730.0,1.0,neutral,loss_averse_000,loss_averse,,
43.0,31fe3aa2,safe,10.0,10.0,10.0,safe,True,740.0,2.0,neutral,loss_averse_000,loss_averse,,
44.0,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,710.0,-1.0,neutral,loss_averse_000,loss_averse,,
45.0,11a749e7,safe,30.0,30.0,40.0,risky,False,740.0,1.0,neutral,loss_averse_000,loss_averse,,
