trial_index,scenario_id,choice,outcome,ev_chosen,ev_optimal,optimal_choice,is_optimal,cumulative_pnl,current_streak,frame,agent_id,agent_type
0,11a749e7,risky,-20.0,40.0,40.0,risky,True,-20.0,-1,neutral,fatigued_000,fatigued
1,951c249d,safe,20.0,20.0,32.5,risky,False,0.0,1,neutral,fatigued_000,fatigued
2,7b8e74ce,safe,80.0,80.0,85.0,risky,False,80.0,2,neutral,fatigued_000,fatigued
3,31fe3aa2,safe,10.0,10.0,10.0,safe,True,90.0,3,neutral,fatigued_000,fatigued
4,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,60.0,-1,neutral,fatigued_000,fatigued
5,11a749e7,risky,100.0,40.0,40.0,risky,True,160.0,1,neutral,fatigued_000,fatigued
6,951c249d,safe,20.0,20.0,32.5,risky,False,180.0,2,neutral,fatigued_000,fatigued
7,7b8e74ce,risky,100.0,85.0,85.0,risky,True,280.0,3,neutral,fatigued_000,fatigued
8,31fe3aa2,safe,10.0,10.0,10.0,safe,True,290.0,4,neutral,fatigued_000,fatigued
9,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,260.0,-1,neutral,fatigued_000,fatigued
10,11a749e7,safe,30.0,30.0,40.0,risky,False,290.0,1,neutral,fatigued_000,fatigued
11,951c249d,risky,-50.0,32.5,32.5,risky,True,240.0,-1,neutral,fatigued_000,fatigued
12,7b8e74ce,risky,100.0,85.0,85.0,risky,True,340.0,1,neutral,fatigued_000,fatigued
13,31fe3aa2,safe,10.0,10.0,10.0,safe,True,350.0,2,neutral,fatigued_000,fatigued
14,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,320.0,-1,neutral,fatigued_000,fatigued
15,11a749e7,safe,30.0,30.0,40.0,risky,False,350.0,1,neutral,fatigued_000,fatigued
16,951c249d,safe,20.0,20.0,32.5,risky,False,370.0,2,neutral,fatigued_000,fatigued
17,7b8e74ce,safe,80.0,80.0,85.0,risky,False,450.0,3,neutral,fatigued_000,fatigued
18,31fe3aa2,safe,10.0,10.0,10.0,safe,True,460.0,4,neutral,fatigued_000,fatigued
19,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,430.0,-1,neutral,fatigued_000,fatigued
20,11a749e7,safe,30.0,30.0,40.0,risky,False,460.0,1,neutral,fatigued_000,fatigued
21,951c249d,safe,20.0,20.0,32.5,risky,False,480.0,2,neutral,fatigued_000,fatigued
22,7b8e74ce,safe,80.0,80.0,85.0,risky,False,560.0,3,neutral,fatigued_000,fatigued
23,31fe3aa2,safe,10.0,10.0,10.0,safe,True,570.0,4,neutral,fatigued_000,fatigued
24,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,540.0,-1,neutral,fatigued_000,fatigued
25,11a749e7,safe,30.0,30.0,40.0,risky,False,570.0,1,neutral,fatigued_000,fatigued
26,951c249d,risky,-50.0,32.5,32.5,risky,True,520.0,-1,neutral,fatigued_000,fatigued
27,7b8e74ce,safe,80.0,80.0,85.0,risky,False,600.0,1,neutral,fatigued_000,fatigued
28,31fe3aa2,safe,10.0,10.0,10.0,safe,True,610.0,2,neutral,fatigued_000,fatigued
29,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,580.0,-1,neutral,fatigued_000,fatigued
30,11a749e7,risky,100.0,40.0,40.0,risky,True,680.0,1,neutral,fatigued_000,fatigued
31,951c249d,safe,20.0,20.0,32.5,risky,False,700.0,2,neutral,fatigued_000,fatigued
32,7b8e74ce,safe,80.0,80.0,85.0,risky,False,780.0,3,neutral,fatigued_000,fatigued
33,31fe3aa2,safe,10.0,10.0,10.0,safe,True,790.0,4,neutral,fatigued_000,fatigued
34,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,760.0,-1,neutral,fatigued_000,fatigued
35,11a749e7,safe,30.0,30.0,40.0,risky,False,790.0,1,neutral,fatigued_000,fatigued
36,951c249d,safe,20.0,20.0,32.5,risky,False,810.0,2,neutral,fatigued_000,fatigued
37,7b8e74ce,safe,80.0,80.0,85.0,risky,False,890.0,3,neutral,fatigued_000,fatigued
38,31fe3aa2,safe,10.0,10.0,10.0,safe,True,900.0,4,neutral,fatigued_000,fatigued
39,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,870.0,-1,neutral,fatigued_000,fatigued
40,11a749e7,safe,30.0,30.0,40.0,risky,False,900.0,1,neutral,fatigued_000,fatigued
41,951c249d,safe,20.0,20.0,32.5,risky,False,920.0,2,neutral,fatigued_000,fatigued
42,7b8e74ce,safe,80.0,80.0,85.0,risky,False,1000.0,3,neutral,fatigued_000,fatigued
43,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1010.0,4,neutral,fatigued_000,fatigued
44,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,980.0,-1,neutral,fatigued_000,fatigued
45,11a749e7,risky,100.0,40.0,40.0,risky,True,1080.0,1,neutral,fatigued_000,fatigued
