trial_index,scenario_id,choice,outcome,ev_chosen,ev_optimal,optimal_choice,is_optimal,cumulative_pnl,current_streak,frame,agent_id,agent_type
0,11a749e7,risky,-20.0,40.0,40.0,risky,True,-20.0,-1,neutral,loss_averse_000,loss_averse
1,951c249d,risky,-50.0,32.5,32.5,risky,True,-70.0,-2,neutral,loss_averse_000,loss_averse
2,7b8e74ce,risky,-200.0,85.0,85.0,risky,True,-270.0,-3,neutral,loss_averse_000,loss_averse
3,31fe3aa2,safe,10.0,10.0,10.0,safe,True,-260.0,1,neutral,loss_averse_000,loss_averse
4,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,-290.0,-1,neutral,loss_averse_000,loss_averse
5,11a749e7,risky,-20.0,40.0,40.0,risky,True,-310.0,-2,neutral,loss_averse_000,loss_averse
6,951c249d,safe,20.0,20.0,32.5,risky,False,-290.0,1,neutral,loss_averse_000,loss_averse
7,7b8e74ce,risky,100.0,85.0,85.0,risky,True,-190.0,2,neutral,loss_averse_000,loss_averse
8,31fe3aa2,safe,10.0,10.0,10.0,safe,True,-180.0,3,neutral,loss_averse_000,loss_averse
9,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,-210.0,-1,neutral,loss_averse_000,loss_averse
10,11a749e7,risky,100.0,40.0,40.0,risky,True,-110.0,1,neutral,loss_averse_000,loss_averse
11,951c249d,safe,20.0,20.0,32.5,risky,False,-90.0,2,neutral,loss_averse_000,loss_averse
12,7b8e74ce,risky,100.0,85.0,85.0,risky,True,10.0,3,neutral,loss_averse_000,loss_averse
13,31fe3aa2,safe,10.0,10.0,10.0,safe,True,20.0,4,neutral,loss_averse_000,loss_averse
14,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,-10.0,-1,neutral,loss_averse_000,loss_averse
15,11a749e7,risky,100.0,40.0,40.0,risky,True,90.0,1,neutral,loss_averse_000,loss_averse
16,951c249d,risky,-50.0,32.5,32.5,risky,True,40.0,-1,neutral,loss_averse_000,loss_averse
